company,time,shares outstanding
TCS,"Nov. 29, 2018",13.08M
,"Sept. 6, 2018",13.08M
,"April 30, 2018",13.08M
,"Jan. 31, 2018",12.32M
,"Nov. 30, 2017",13.08M
,"Oct. 31, 2017",13.08M
,"Sept. 7, 2017",13.08M
,"July 31, 2017",13.08M
,"June 27, 2017",13.08M
,"April 30, 2017",12.32M
,"March 31, 2017",12.32M
,"Feb. 28, 2017",12.32M
,"Dec. 1, 2016",12.32M
,"July 31, 2016",12.32M
,"April 30, 2016",12.32M
,"Oct. 31, 2015",12.32M
,"Sept. 10, 2015",12.32M
,"April 30, 2015",12.32M
,"Jan. 31, 2015",11.54M
,"Nov. 25, 2014",11.54M
,"Sept. 11, 2014",11.54M
,"July 8, 2014",11.54M
,"Jan. 31, 2014",11.45M
KXS,"Dec. 31, 2018",26.08M
,"Sept. 30, 2018",26.02M
,"June 30, 2018",25.93M
,"March 31, 2018",25.64M
,"Dec. 31, 2017",25.51M
,"Sept. 30, 2017",25.44M
,"June 30, 2017",25.41M
,"March 31, 2017",25.29M
,"Dec. 31, 2016",24.94M
,"Sept. 30, 2016",24.83M
,"June 30, 2016",24.68M
,"March 31, 2016",24.48M
,"Dec. 31, 2015",24.42M
,"Sept. 30, 2015",24.12M
,"June 30, 2015",23.90M
,"March 31, 2015",23.81M
,"Dec. 31, 2014",23.74M
,"Sept. 30, 2014",23.61M
,"June 30, 2014",23.59M
CSU,"Dec. 31, 2018",21.19M
,"Sept. 30, 2018",21.19M
,"June 30, 2018",21.19M
,"March 31, 2018",21.19M
,"Dec. 31, 2017",21.19M
,"Sept. 30, 2017",21.19M
,"June 30, 2017",21.19M
,"March 31, 2017",21.19M
,"Dec. 31, 2016",21.19M
,"Sept. 30, 2016",21.19M
,"June 30, 2016",21.19M
,"March 31, 2016",21.19M
,"Dec. 31, 2015",21.19M
,"Sept. 30, 2015",21.19M
,"June 30, 2015",21.19M
,"March 31, 2015",21.19M
,"Dec. 31, 2014",21.19M
,"Sept. 30, 2014",21.19M
,"June 30, 2014",21.19M
,"March 31, 2014",21.19M
TVK,"Dec. 31, 2018",17.05M
,"Oct. 22, 2018",17.03M
,"Sept. 30, 2018",17.63M
,"June 30, 2018",17.42M
,"May 1, 2018",17.16M
,"March 31, 2018",18.47M
,"Jan. 29, 2018",18.27M
,"Dec. 31, 2017",18.27M
,"Sept. 30, 2017",18.37M
,"June 30, 2017",18.34M
,"March 31, 2017",18.29M
,"Dec. 31, 2016",18.32M
,"Sept. 30, 2016",18.32M
,"June 30, 2016",18.32M
,"March 31, 2016",18.24M
,"Dec. 31, 2015",18.27M
,"Sept. 30, 2015",18.30M
,"June 30, 2015",18.08M
,"March 31, 2015",18.08M
,"Dec. 31, 2014",18.10M
,"Sept. 30, 2014",18.11M
,"June 30, 2014",17.70M
,"March 31, 2014",14.42M
PKI,"Dec. 31, 2018",133.67M
,"Sept. 30, 2018",133.00M
,"June 30, 2018",132.46M
,"March 31, 2018",131.73M
,"Dec. 31, 2017",131.23M
,"Sept. 30, 2017",130.70M
,"June 30, 2017",130.37M
,"June 28, 2017",130.10M
,"May 9, 2017",120.70M
,"May 2, 2017",96.70M
,"March 31, 2017",96.58M
,"Dec. 31, 2016",96.24M
,"Sept. 30, 2016",95.85M
,"June 30, 2016",95.42M
,"March 31, 2016",94.17M
,"Dec. 31, 2015",93.86M
,"Sept. 30, 2015",90.78M
,"June 30, 2015",89.93M
,"March 31, 2015",82.91M
,"Dec. 31, 2014",82.11M
,"Sept. 30, 2014",76.06M
,"June 30, 2014",74.76M
,"March 31, 2014",73.76M
SU,"Dec. 31, 2018",1.584B
,"Oct. 29, 2018",1.605B
,"July 23, 2018",1.624B
,"June 7, 2018",1.631B
,"April 27, 2018",1.634B
,"Feb. 27, 2018",1.639B
,"Feb. 23, 2018",1.639B
,"Dec. 31, 2017",1.641B
,"Oct. 23, 2017",1.655B
,"Sept. 30, 2017",1.656B
,"July 24, 2017",1.659B
,"April 21, 2017",1.669B
,"Feb. 24, 2017",1.669B
,"Dec. 31, 2016",1.668B
,"Oct. 24, 2016",1.665B
,"July 25, 2016",1.664B
,"April 25, 2016",1.582B
,"Feb. 22, 2016",1.545B
,"Dec. 31, 2015",1.446B
,"Oct. 22, 2015",1.445B
,"July 23, 2015",1.446B
,"April 22, 2015",1.446B
,"Feb. 23, 2015",1.445B
,"Dec. 31, 2014",1.444B
,"Oct. 22, 2014",1.452B
,"July 23, 2014",1.465B
,"April 21, 2014",1.468B
,"Feb. 24, 2014",1.471B
ZYME,"Nov. 5, 2018",31.97M
,"Sept. 30, 2018",31.96M
,"July 31, 2018",31.96M
,"June 30, 2018",31.95M
,"June 11, 2018",31.77M
,"May 24, 2018",25.56M
,"May 18, 2018",25.55M
,"April 30, 2018",25.46M
,"April 20, 2018",25.46M
,"March 31, 2018",25.46M
,"March 12, 2018",25.46M
,"Feb. 28, 2018",25.46M
,"Dec. 31, 2017",25.44M
,"Nov. 8, 2017",25.38M
,"Sept. 30, 2017",25.34M
,"Aug. 8, 2017",25.34M
,"June 30, 2017",25.33M
,"May 31, 2017",25.32M
,"April 28, 2017",24.92M
,"April 17, 2017",24.20M
,"March 31, 2017",13.21M
CSH.UN,"Dec. 31, 2018",210.99M
,"Sept. 30, 2018",210.61M
,"June 30, 2018",210.23M
,"March 31, 2018",209.85M
,"Dec. 31, 2017",209.48M
,"Nov. 24, 2017",209.13M
,"Sept. 30, 2017",191.40M
,"June 30, 2017",190.99M
,"March 31, 2017",190.47M
,"Dec. 31, 2016",190.10M
,"Sept. 30, 2016",189.70M
,"June 30, 2016",189.32M
,"March 31, 2016",182.10M
,"Dec. 31, 2015",181.69M
,"Sept. 30, 2015",180.03M
,"June 30, 2015",179.55M
,"March 31, 2015",179.07M
,"Dec. 31, 2014",178.69M
,"Sept. 30, 2014",178.31M
,"June 30, 2014",177.88M
,"March 31, 2014",177.35M
WEED,"Dec. 31, 2018",342.98M
,"Nov. 26, 2018",339.85M
,"Nov. 1, 2018",333.63M
,"Oct. 26, 2018",229.13M
,"Oct. 25, 2018",229.09M
,"Sept. 30, 2018",223.75M
,"Sept. 5, 2018",229.03M
,"Aug. 22, 2018",221.85M
,"Aug. 3, 2018",203.67M
,"July 5, 2018",200.59M
,"June 30, 2018",201.32M
,"May 30, 2018",199.40M
,"May 11, 2018",198.73M
,"April 16, 2018",198.40M
,"March 31, 2018",200.99M
,"Feb. 13, 2018",198.35M
,"Feb. 7, 2018",198.23M
,"Jan. 31, 2018",192.43M
,"Jan. 25, 2018",185.82M
,"Dec. 31, 2017",190.96M
,"Nov. 2, 2017",185.79M
,"Sept. 30, 2017",168.77M
,"Sept. 8, 2017",166.91M
,"Aug. 28, 2017",166.80M
,"July 27, 2017",166.69M
,"June 30, 2017",164.61M
,"May 1, 2017",163.59M
,"March 31, 2017",162.19M
,"March 22, 2017",160.37M
,"Jan. 31, 2017",157.87M
,"Jan. 16, 2017",123.60M
,"Dec. 31, 2016",123.51M
,"Dec. 22, 2016",120.33M
,"Sept. 30, 2016",114.67M
,"June 30, 2016",104.98M
,"March 31, 2016",98.82M
,"Dec. 31, 2015",98.51M
,"Sept. 30, 2015",86.65M
,"June 30, 2015",50.97M
,"March 31, 2015",50.75M
,"Dec. 31, 2014",40.64M
,"Sept. 30, 2014",40.13M
,"June 30, 2014",39.94M
,"March 31, 2014",7.014M
,"Jan. 31, 2014",1.00M
AGT,"Sept. 30, 2018",24.24M
,"June 30, 2018",24.24M
,"March 31, 2018",24.24M
,"March 20, 2018",24.24M
,"Dec. 31, 2017",24.24M
,"Sept. 30, 2017",24.24M
,"June 30, 2017",24.24M
,"March 31, 2017",24.24M
,"Dec. 31, 2016",23.94M
,"Sept. 30, 2016",23.93M
,"June 30, 2016",23.93M
,"March 31, 2016",23.90M
,"Dec. 31, 2015",23.80M
,"Sept. 30, 2015",23.07M
,"June 30, 2015",23.07M
,"March 31, 2015",23.07M
,"Dec. 31, 2014",23.06M
,"Sept. 30, 2014",20.20M
,"June 30, 2014",20.20M
MFI,"Dec. 31, 2018",123.45M
,"Oct. 18, 2018",123.88M
,"July 19, 2018",126.05M
,"May 11, 2018",126.54M
,"April 25, 2018",126.67M
,"Dec. 31, 2017",126.49M
,"Oct. 19, 2017",128.05M
,"July 20, 2017",129.01M
,"May 15, 2017",129.83M
,"April 20, 2017",129.79M
,"Dec. 31, 2016",132.08M
,"Oct. 25, 2016",134.72M
,"July 21, 2016",134.67M
,"April 26, 2016",134.57M
,"Dec. 31, 2015",134.99M
,"April 23, 2015",143.08M
,"Dec. 31, 2014",142.94M
DOL,"Oct. 28, 2018",319.95M
,"July 29, 2018",326.83M
,"June 20, 2018",327.73M
,"June 6, 2018",327.73M
,"April 29, 2018",327.73M
,"Jan. 28, 2018",327.98M
,"Dec. 21, 2017",333.73M
,"Oct. 29, 2017",335.04M
,"July 30, 2017",337.01M
,"June 6, 2017",340.82M
,"April 30, 2017",340.82M
,"Jan. 29, 2017",345.15M
,"Oct. 30, 2016",351.98M
,"July 31, 2016",356.45M
,"May 1, 2016",362.48M
,"Jan. 31, 2016",366.68M
,"Nov. 1, 2015",377.30M
,"Aug. 2, 2015",383.50M
,"May 3, 2015",388.07M
,"Feb. 1, 2015",389.37M
,"Nov. 2, 2014",394.35M
,"Aug. 3, 2014",398.01M
,"May 4, 2014",406.37M
,"Feb. 2, 2014",416.87M
AD.TO,"Dec. 31, 2018",36.50M
,"Sept. 30, 2018",36.50M
,"June 30, 2018",36.50M
,"March 31, 2018",36.48M
,"Dec. 31, 2017",36.48M
,"Sept. 30, 2017",36.44M
,"June 30, 2017",36.44M
,"March 31, 2017",36.44M
,"Dec. 31, 2016",36.34M
,"Sept. 30, 2016",36.34M
,"June 30, 2016",36.34M
,"March 31, 2016",36.30M
,"Dec. 31, 2015",36.30M
,"Sept. 30, 2015",35.99M
,"June 30, 2015",32.18M
,"March 31, 2015",32.18M
,"Dec. 31, 2014",32.07M
,"Sept. 30, 2014",32.07M
,"June 30, 2014",32.00M
,"March 31, 2014",28.72M
X.TO,"Dec. 31, 2018",55.79M
,"May 4, 2018",55.53M
,"March 31, 2018",55.51M
,"Dec. 31, 2017",55.38M
,"Dec. 31, 2016",55.02M
,"Dec. 31, 2015",54.39M
,"Dec. 31, 2014",54.32M
RY,"Dec. 28, 2018",1.439B
,"Oct. 31, 2018",1.439B
,"Sept. 20, 2018",1.440B
,"Aug. 17, 2018",1.440B
,"May 18, 2018",1.442B
,"April 19, 2018",1.443B
,"Feb. 16, 2018",1.444B
,"Feb. 8, 2018",1.444B
,"Jan. 31, 2018",1.444B
,"Jan. 19, 2018",1.449B
,"Oct. 31, 2017",1.453B
,"Oct. 30, 2017",1.453B
,"July 31, 2017",1.458B
,"April 30, 2017",1.457B
,"Feb. 28, 2017",1.475B
,"Feb. 17, 2017",1.476B
,"Jan. 31, 2017",1.475B
,"Oct. 31, 2016",1.485B
,"July 31, 2016",1.485B
,"April 30, 2016",1.488B
,"Feb. 8, 2016",1.487B
,"Jan. 31, 2016",1.487B
,"Oct. 31, 2015",1.443B
,"Aug. 21, 2015",1.443B
,"July 31, 2015",1.443B
,"May 22, 2015",1.443B
,"April 30, 2015",1.443B
,"Feb. 9, 2015",1.443B
,"Jan. 31, 2015",1.442B
,"Oct. 31, 2014",1.442B
,"July 31, 2014",1.442B
,"April 30, 2014",1.441B
,"Jan. 31, 2014",1.442B
,"Jan. 3, 2014",1.442B
SPB,"Dec. 31, 2018",174.90M
,"Sept. 30, 2018",174.90M
,"July 10, 2018",174.84M
,"June 30, 2018",142.80M
,"May 1, 2018",142.84M
,"March 31, 2018",142.80M
,"Dec. 31, 2017",142.80M
,"Sept. 30, 2017",142.80M
,"June 30, 2017",142.80M
,"March 31, 2017",142.80M
,"Dec. 31, 2016",142.80M
,"Sept. 30, 2016",142.80M
,"June 30, 2016",142.20M
,"March 31, 2016",141.40M
,"Dec. 31, 2015",140.60M
,"Sept. 30, 2015",126.70M
,"June 30, 2015",126.70M
,"March 31, 2015",126.20M
,"Dec. 31, 2014",126.20M
,"Sept. 30, 2014",126.20M
,"June 30, 2014",126.20M
,"March 31, 2014",126.20M
NPI,"Dec. 31, 2018",181.20M
,"Dec. 21, 2018",180.20M
,"Dec. 3, 2018",177.49M
,"Nov. 6, 2018",177.49M
,"Aug. 8, 2018",176.88M
,"March 31, 2018",176.07M
,"Dec. 31, 2017",175.44M
,"Nov. 8, 2017",175.06M
,"Aug. 9, 2017",174.39M
,"May 9, 2017",173.74M
,"March 2, 2017",173.35M
,"Nov. 9, 2016",172.57M
,"Aug. 10, 2016",171.96M
,"May 11, 2016",171.36M
,"Dec. 31, 2015",170.65M
,"Nov. 9, 2015",170.28M
,"Aug. 13, 2015",169.68M
,"May 11, 2015",168.95M
,"Feb. 23, 2015",150.96M
,"Nov. 13, 2014",148.93M
,"Aug. 5, 2014",148.12M
,"May 12, 2014",146.98M
H.TO,"Sept. 30, 2018",595.88M
,"June 30, 2018",595.88M
,"March 31, 2018",595.39M
,"Dec. 31, 2017",595.39M
,"Sept. 30, 2017",595.39M
,"June 30, 2017",595.39M
,"March 31, 2017",595.00M
,"Dec. 31, 2016",595.00M
,"Sept. 30, 2016",595.00M
,"June 30, 2016",595.00M
,"March 31, 2016",595.00M
,"Dec. 31, 2015",595.00M
,"Nov. 5, 2015",595.00M
